Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",150.434000,-85.204000,180.000000,bottom
"C2","1nF","C_0805_2012Metric",150.434000,-88.214000,180.000000,bottom
"C3","100nF","C_0805_2012Metric",150.434000,-91.224000,180.000000,bottom
"C4","10nF","C_0805_2012Metric",150.434000,-94.234000,180.000000,bottom
"C5","470pF","C_0805_2012Metric",150.434000,-77.254000,180.000000,bottom
"C6","2.2pF","C_0805_2012Metric",150.434000,-80.264000,180.000000,bottom
"D1","Red LED","LED_0805_2012Metric",138.938000,-95.425500,90.000000,bottom
"D2","Red LED","LED_0805_2012Metric",135.898000,-95.425500,90.000000,bottom
"D3","ESDA6V1W5","SOT65P210X110-5N",143.764000,-94.488000,0.000000,bottom
"DE","Red LED","LED_0805_2012Metric",144.545000,-77.547000,-90.000000,bottom
"J2","SIM8051-6-0-14-00-X-REVD","GCT_SIM8051-6-0-14-00-X-REVD",138.900000,-86.200000,180.000000,bottom
"J3","Conn_01x04","TE_282834-4",126.238000,-89.154000,90.000000,bottom
"R1","470","R_0603_1608Metric",134.456000,-77.533000,-90.000000,bottom
"R2","470","R_0603_1608Metric",136.966000,-77.533000,-90.000000,bottom
"R4","10k","R_0805_2012Metric",132.903000,-95.385500,90.000000,bottom
"R5","47K","R_0603_1608Metric",139.476000,-77.533000,-90.000000,bottom
"R6","47K","R_0603_1608Metric",141.986000,-77.533000,-90.000000,bottom
"RE","2k7","R_0603_1608Metric",147.320000,-77.787000,-90.000000,bottom
"J1","U.FL-R-SMT-1_10_","HRS_U.FL-R-SMT-1_10_",150.417000,-80.200000,0.000000,top
"Q1","BC817","SOT-23",149.938500,-85.852000,0.000000,top
"Q2","BC817","SOT-23",150.192500,-89.784000,0.000000,top
"Q3","BC817","SOT-23",150.192500,-94.234000,0.000000,top
"R3","4k7","R_0402_1005Metric",128.776000,-84.750000,0.000000,top
"R7","26.1","R_0402_1005Metric",128.776000,-86.740000,0.000000,top
"R8","0","R_0402_1005Metric",128.776000,-88.730000,0.000000,top
"R9","26.1","R_0402_1005Metric",128.776000,-90.720000,0.000000,top
"R10","26.1","R_0402_1005Metric",128.776000,-92.710000,0.000000,top
"U1","SIM800C","SIMCom_SIM800C",138.900000,-86.200000,0.000000,top
"U2","MIC5209-4.2YS","SOT-223_S_MCL",125.222000,-79.692500,90.000000,top
